Format Version,1.21,Take Name,piernadercr,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-11-16 04.18.21.328 PM,Total Frames in Take,1891,Total Exported Frames,474,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.133333,-0.014271,-0.214522,0.028424,0.976201,-0.042924,1.695386,-0.038894,0.000241,-0.540873,0.336703,-0.03477,-0.769986,-0.08173,0.79006,0.253767,0.000758,0.47584,-0.172701,-0.173599,-0.844757,-0.105994,0.79122,-0.257072,0.000731,-0.003868,0.060574,-0.001519,-0.998155,0.013965,0.067742,0.198654,0.00032,Empty,Empty,Empty,-0.999961,Empty,Empty,Empty,0.000449,0.010095,0.025995,-0.00369,0.999604,0.082917,1.36059,0.002946,0.001085
5,0.166667,-0.01457,-0.214826,0.029186,0.976108,-0.043294,1.695313,-0.038886,0.000235,-0.539036,0.336928,-0.033107,-0.771248,-0.083006,0.790386,0.253705,0.000811,0.475977,-0.172091,-0.173601,-0.844803,-0.106451,0.791269,-0.256911,0.000766,-0.003773,0.060615,-0.001652,-0.998153,0.013968,0.067748,0.198652,0.000325,Empty,Empty,Empty,-0.999961,Empty,Empty,Empty,0.000451,0.010181,0.025924,-0.003643,0.999605,0.082752,1.360591,0.003107,0.001011
6,0.2,-0.014917,-0.215364,0.029312,0.97598,-0.043564,1.695278,-0.03874,0.000261,-0.538576,0.337054,-0.032495,-0.771541,-0.083808,0.790501,0.253871,0.00085,0.474665,-0.169761,-0.173565,-0.84602,-0.106281,0.791109,-0.257174,0.000834,-0.003898,0.060591,-0.001715,-0.998154,0.013971,0.06774,0.198656,0.000326,Empty,Empty,Empty,-0.999962,Empty,Empty,Empty,0.000448,0.010373,0.025979,-0.00356,0.999602,0.08261,1.360572,0.003246,0.000982
7,0.233333,-0.014737,-0.215746,0.029074,0.975905,-0.043834,1.695314,-0.038556,0.000266,-0.538424,0.337145,-0.033026,-0.771584,-0.084159,0.790521,0.254311,0.00078,0.469263,-0.167214,-0.172103,-0.849831,-0.105658,0.790801,-0.257688,0.000838,-0.003863,0.060605,-0.001837,-0.998153,0.013939,0.067721,0.198643,0.000322,Empty,Empty,Empty,-0.999962,Empty,Empty,Empty,0.000453,0.010454,0.025805,-0.00358,0.999606,0.082418,1.360491,0.003389,0.000906
8,0.266667,-0.01454,-0.216008,0.028979,0.975853,-0.044141,1.695353,-0.038285,0.000268,-0.538189,0.337431,-0.033187,-0.771616,-0.08408,0.790344,0.254938,0.00076,0.473032,-0.164459,-0.174589,-0.847769,-0.104445,0.790404,-0.258715,0.000928,-0.003912,0.060606,-0.001925,-0.998152,0.013932,0.067716,0.198638,0.000326,Empty,Empty,Empty,-0.999962,Empty,Empty,Empty,0.000457,0.010514,0.02578,-0.003678,0.999606,0.082216,1.360439,0.003498,0.000857
9,0.3,-0.014019,-0.215866,0.028777,0.975898,-0.044505,1.695395,-0.037989,0.000254,-0.536879,0.335858,-0.033594,-0.773196,-0.08358,0.790125,0.255589,0.000678,0.467495,-0.161653,-0.174262,-0.85144,-0.102781,0.789933,-0.259793,0.000862,-0.003943,0.06058,-0.002034,-0.998154,0.013925,0.067714,0.198637,0.000322,Empty,Empty,Empty,-0.999962,Empty,Empty,Empty,0.000456,0.010614,0.025859,-0.003575,0.999603,0.082002,1.36044,0.003578,0.000811
10,0.333333,-0.013584,-0.215475,0.028806,0.97599,-0.044923,1.695436,-0.03769,0.000241,-0.53677,0.335013,-0.034679,-0.77359,-0.082684,0.789876,0.256442,0.000664,0.467442,-0.158478,-0.175516,-0.851808,-0.100988,0.789554,-0.260917,0.000921,-0.004036,0.060559,-0.002127,-0.998154,0.0139,0.067717,0.198643,0.000319,Empty,Empty,Empty,-0.999962,Empty,Empty,Empty,0.000462,0.010701,0.02607,-0.003489,0.999597,0.081742,1.360452,0.003658,0.000777
11,0.366667,-0.013241,-0.214942,0.028993,0.976107,-0.045406,1.69544,-0.037412,0.000244,-0.538593,0.332682,-0.033758,-0.77337,-0.081451,0.789538,0.257174,0.000836,0.465389,-0.15604,-0.177213,-0.85303,-0.098889,0.789077,-0.262145,0.000959,-0.004067,0.060529,-0.002291,-0.998156,0.013879,0.067709,0.198646,0.000316,Empty,Empty,Empty,-0.999962,Empty,Empty,Empty,0.000457,0.010889,0.026339,-0.003318,0.999588,0.081393,1.360515,0.003761,0.000809
12,0.4,-0.013213,-0.21477,0.029351,0.976134,-0.045892,1.695409,-0.037092,0.000279,-0.536166,0.331769,-0.036322,-0.77533,-0.080034,0.789075,0.257884,0.000605,0.465183,-0.154068,-0.179517,-0.853019,-0.096596,0.788568,-0.263356,0.000956,-0.004065,0.060504,-0.002497,-0.998157,0.013863,0.067708,0.198651,0.000323,Empty,Empty,Empty,-0.999962,Empty,Empty,Empty,0.00046,0.011127,0.026555,-0.002995,0.999581,0.081069,1.360563,0.003826,0.000813
13,0.433333,-0.012957,-0.214672,0.029605,0.976151,-0.046343,1.695392,-0.036837,0.000267,-0.537585,0.329956,-0.037048,-0.775087,-0.078421,0.788642,0.258561,0.000774,0.463707,-0.151057,-0.183119,-0.853595,-0.094489,0.78811,-0.264529,0.000922,-0.004191,0.06047,-0.002605,-0.998158,0.013843,0.067697,0.19865,0.000331,Empty,Empty,Empty,-0.999962,Empty,Empty,Empty,0.000464,0.011275,0.026749,-0.002749,0.999575,0.080799,1.360627,0.0039,0.000842
14,0.466667,-0.012467,-0.214183,0.029939,0.976255,-0.046804,1.69538,-0.036577,0.000254,-0.537062,0.327266,-0.038466,-0.776519,-0.076858,0.788193,0.259105,0.000603,0.463507,-0.148911,-0.185135,-0.853646,-0.092457,0.78763,-0.265532,0.00096,-0.004438,0.060291,-0.002773,-0.998167,0.013797,0.067719,0.198627,0.000302,Empty,Empty,Empty,-0.999963,Empty,Empty,Empty,0.00046,0.011411,0.026962,-0.002433,0.999568,0.080551,1.360734,0.003964,0.000844
15,0.5,-0.011623,-0.21373,0.030211,0.976356,-0.047265,1.6954,-0.036333,0.000273,-0.535683,0.325005,-0.038782,-0.778403,-0.075309,0.787703,0.25972,0.000751,0.463735,-0.146716,-0.186486,-0.853609,-0.090716,0.787149,-0.266378,0.000866,-0.004468,0.060271,-0.002878,-0.998168,0.01379,0.067714,0.19862,0.000304,Empty,Empty,Empty,-0.999962,Empty,Empty,Empty,0.00046,0.011538,0.02705,-0.002114,0.999565,0.080294,1.360822,0.00401,0.000917
16,0.533333,-0.011167,-0.21361,0.030523,0.976378,-0.047617,1.69541,-0.036081,0.000271,-0.535707,0.323945,-0.039904,-0.778772,-0.073942,0.787165,0.260085,0.000599,0.462414,-0.145565,-0.188492,-0.854081,-0.089362,0.786867,-0.267122,0.000868,-0.004465,0.06027,-0.002951,-0.998168,0.01378,0.067713,0.19862,0.000307,Empty,Empty,Empty,-0.999963,Empty,Empty,Empty,0.000456,0.011763,0.027231,-0.001713,0.999559,0.080118,1.360885,0.00407,0.000964
17,0.566667,-0.010772,-0.213591,0.030656,0.976383,-0.047896,1.695425,-0.035821,0.000252,-0.535792,0.322624,-0.041374,-0.779185,-0.072752,0.786767,0.260488,0.000633,0.462049,-0.144792,-0.190645,-0.853932,-0.088496,0.786781,-0.267538,0.00083,-0.004419,0.060227,-0.003102,-0.99817,0.013768,0.067717,0.198617,0.000306,Empty,Empty,Empty,-0.999963,Empty,Empty,Empty,0.000457,0.012029,0.027123,-0.001309,0.999559,0.07987,1.360983,0.004134,0.00107
18,0.6,-0.010679,-0.213623,0.031042,0.976364,-0.048165,1.695422,-0.035519,0.000264,-0.537339,0.320809,-0.042865,-0.778788,-0.071841,0.786284,0.260598,0.000586,0.461524,-0.144808,-0.191653,-0.853988,-0.088064,0.786853,-0.267761,0.00083,-0.004458,0.060233,-0.003226,-0.998169,0.013752,0.067694,0.198621,0.000299,Empty,Empty,Empty,-0.999963,Empty,Empty,Empty,0.000477,0.012389,0.026901,-0.000857,0.999561,0.079656,1.361103,0.004207,0.001211
19,0.633333,-0.010126,-0.21385,0.031068,0.97632,-0.048384,1.695475,-0.035262,0.000265,-0.536307,0.320002,-0.043389,-0.779802,-0.071281,0.786101,0.26061,0.000549,0.4613,-0.14539,-0.191565,-0.85403,-0.088127,0.787047,-0.267802,0.000844,-0.004537,0.060216,-0.003235,-0.99817,0.013743,0.067712,0.198622,0.000308,Empty,Empty,Empty,-0.999963,Empty,Empty,Empty,0.000482,0.012532,0.026772,-0.000454,0.999563,0.079493,1.361241,0.004247,0.001307
20,0.666667,-0.009756,-0.214243,0.031019,0.976239,-0.048581,1.69551,-0.035086,0.000272,-0.535384,0.320479,-0.044546,-0.780175,-0.071111,0.786009,0.260408,0.000639,0.460969,-0.145952,-0.190176,-0.854423,-0.088557,0.787323,-0.267661,0.00084,-0.004603,0.060215,-0.003494,-0.998169,0.01374,0.067672,0.198624,0.000348,Empty,Empty,Empty,-0.999963,Empty,Empty,Empty,0.000489,0.020651,0.000754,0.011378,0.999722,0.074291,1.358976,0.002412,0.002319
21,0.7,-0.009376,-0.214624,0.031374,0.976148,-0.048795,1.695514,-0.035003,0.000271,-0.536187,0.32095,-0.044781,-0.779416,-0.071317,0.786015,0.260008,0.00054,0.459519,-0.146653,-0.189127,-0.855317,-0.089256,0.787711,-0.267465,0.000906,-0.004584,0.060181,-0.00334,-0.998171,0.013722,0.067697,0.198634,0.000308,Empty,Empty,Empty,-0.999963,Empty,Empty,Empty,0.000471,0.020795,0.000246,0.01162,0.999716,0.074227,1.359133,0.002453,0.002243
22,0.733333,-0.009092,-0.215354,0.031946,0.975971,-0.048988,1.6955,-0.034982,0.000287,-0.537444,0.322388,-0.044845,-0.777952,-0.071854,0.786188,0.259482,0.000653,0.459724,-0.148377,-0.188073,-0.855141,-0.090229,0.788243,-0.267196,0.000981,-0.004574,0.060201,-0.003363,-0.99817,0.013731,0.067691,0.198643,0.000319,Empty,Empty,Empty,-0.999964,Empty,Empty,Empty,0.000481,0.021914,0.001021,0.011433,0.999694,0.074701,1.359007,0.003239,0.001548
23,0.766667,-0.008796,-0.216203,0.032519,0.975767,-0.049101,1.695472,-0.035002,0.000291,-0.539053,0.323999,-0.046021,-0.776098,-0.072813,0.78648,0.25907,0.000573,0.45984,-0.149194,-0.186432,-0.855296,-0.09134,0.788673,-0.266808,0.000909,-0.004544,0.060188,-0.003368,-0.998171,0.01373,0.067693,0.198648,0.000304,Empty,Empty,Empty,-0.999963,Empty,Empty,Empty,0.000482,0.022016,0.000472,0.011779,0.999688,0.074778,1.359111,0.003256,0.001559
24,0.8,-0.008617,-0.217162,0.033,0.97554,-0.049125,1.69543,-0.035079,0.000291,-0.537322,0.325863,-0.045695,-0.776538,-0.073944,0.78678,0.258646,0.000711,0.459264,-0.151128,-0.184342,-0.855719,-0.092652,0.789192,-0.266343,0.000986,-0.004625,0.060231,-0.003314,-0.998168,0.013727,0.06769,0.19863,0.000311,Empty,Empty,Empty,-0.999964,Empty,Empty,Empty,0.000489,0.022218,0.000279,0.011879,0.999683,0.074866,1.359202,0.003237,0.001555
25,0.833333,-0.008475,-0.217817,0.033569,0.975375,-0.049061,1.695398,-0.035159,0.000283,-0.538128,0.328055,-0.045494,-0.775067,-0.075093,0.787073,0.258027,0.00061,0.462857,-0.151772,-0.182589,-0.854043,-0.094015,0.789568,-0.265839,0.000959,-0.004607,0.06021,-0.003271,-0.99817,0.013738,0.067682,0.198633,0.000305,Empty,Empty,Empty,-0.999964,Empty,Empty,Empty,0.000487,0.022534,0.000274,0.011979,0.999674,0.075047,1.359265,0.003129,0.001539
26,0.866667,-0.008367,-0.218145,0.034071,0.975286,-0.048927,1.695364,-0.035229,0.00028,-0.540818,0.331781,-0.047293,-0.771493,-0.076445,0.787558,0.257522,0.000719,0.463994,-0.153433,-0.183244,-0.852989,-0.095068,0.789975,-0.265434,0.000933,-0.004597,0.060199,-0.003211,-0.998171,0.013747,0.067692,0.198631,0.000305,Empty,Empty,Empty,-0.999964,Empty,Empty,Empty,0.000466,0.022797,0.000271,0.012178,0.999666,0.075275,1.359308,0.003005,0.001521
