Format Version,1.21,Take Name,Take 2017-12-04 07.34.48 PM,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-12-04 07.34.48.522 PM,Total Frames in Take,2375,Total Exported Frames,595,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.133333,-0.555113,0.361489,-0.382935,-0.643844,-0.088216,0.809447,0.274833,0.000974,-0.064357,-0.129865,0.042912,0.98851,-0.055479,0.811703,-0.282262,0.000597,0.113943,-0.104399,0.002099,-0.987985,-0.01899,0.077633,-0.199767,0.0009,-0.218132,0.106227,-0.186256,-0.952073,-0.026376,0.07646,0.207715,0.000972,0.010681,0.225727,-0.042063,-0.973223,-0.004743,1.710245,-0.021155,0.000217,-0.005831,-0.114337,-0.012591,0.993345,0.075982,1.283337,0.019502,0.001551
5,0.166667,-0.55467,0.361173,-0.383865,-0.643851,-0.088186,0.809363,0.274762,0.000952,-0.065029,-0.130439,0.043189,0.988378,-0.055284,0.811642,-0.282128,0.000608,0.114144,-0.10439,0.002245,-0.987962,-0.018984,0.077646,-0.19977,0.000898,-0.218195,0.106139,-0.186226,-0.952074,-0.02632,0.076468,0.207747,0.00095,0.010689,0.225238,-0.041649,-0.973355,-0.004755,1.710189,-0.021337,0.000223,-0.005994,-0.114949,-0.012559,0.993274,0.075817,1.283381,0.019544,0.00153
6,0.2,-0.555339,0.360678,-0.383651,-0.643678,-0.088409,0.809428,0.274629,0.000963,-0.064834,-0.13051,0.043081,0.988387,-0.055053,0.811562,-0.281944,0.000615,0.113953,-0.104364,0.002271,-0.987987,-0.018946,0.077627,-0.199761,0.000878,-0.218264,0.106257,-0.186121,-0.952066,-0.026339,0.076486,0.207722,0.000974,0.010669,0.224514,-0.041031,-0.973548,-0.004892,1.710103,-0.021486,0.000227,-0.006058,-0.115522,-0.012265,0.993211,0.075678,1.283416,0.019568,0.001528
7,0.233333,-0.557303,0.360296,-0.380711,-0.643941,-0.089068,0.809572,0.274347,0.000894,-0.064879,-0.130472,0.043406,0.988374,-0.054784,0.811496,-0.281801,0.000616,0.11413,-0.104314,0.002404,-0.987971,-0.018926,0.077647,-0.199767,0.000861,-0.218263,0.106148,-0.186192,-0.952064,-0.026318,0.076467,0.207751,0.000954,0.01065,0.224058,-0.041323,-0.973641,-0.005088,1.710069,-0.021591,0.000218,-0.006054,-0.115671,-0.011921,0.993198,0.075562,1.283462,0.019596,0.001521
8,0.266667,-0.558759,0.360456,-0.378277,-0.644023,-0.089971,0.809883,0.274044,0.000947,-0.064785,-0.130452,0.04399,0.988357,-0.054425,0.811364,-0.281645,0.00061,0.113923,-0.104368,0.002375,-0.98799,-0.018916,0.07763,-0.199767,0.000858,-0.21807,0.106105,-0.186278,-0.952097,-0.026354,0.076438,0.207743,0.000949,0.010856,0.224651,-0.042221,-0.973464,-0.00529,1.710088,-0.021611,0.000228,-0.006014,-0.115907,-0.011832,0.993171,0.075427,1.283523,0.019598,0.001511
9,0.3,-0.560032,0.360987,-0.374202,-0.645001,-0.091497,0.810384,0.273409,0.000927,-0.064455,-0.130852,0.044791,0.98829,-0.053984,0.811165,-0.281529,0.000605,0.113846,-0.104463,0.002318,-0.987988,-0.018943,0.077645,-0.199765,0.000888,-0.218117,0.106107,-0.186359,-0.95207,-0.026373,0.076427,0.207751,0.000948,0.011211,0.228078,-0.043029,-0.972627,-0.00544,1.710118,-0.021512,0.000244,-0.006054,-0.115654,-0.011723,0.993202,0.075318,1.283597,0.019616,0.001491
10,0.333333,-0.559549,0.36324,-0.371276,-0.645844,-0.093278,0.810921,0.272727,0.000959,-0.063213,-0.131317,0.045734,0.988265,-0.053473,0.810851,-0.2814,0.000637,0.113996,-0.104398,0.00237,-0.987978,-0.018953,0.077664,-0.199763,0.000883,-0.218181,0.10615,-0.186453,-0.952032,-0.026408,0.07645,0.20774,0.000971,0.010874,0.235153,-0.043816,-0.970909,-0.005453,1.710174,-0.021256,0.000239,-0.006046,-0.115223,-0.011655,0.993253,0.075248,1.283698,0.019595,0.001464
11,0.366667,-0.560327,0.365571,-0.369833,-0.644682,-0.095181,0.81156,0.271826,0.000865,-0.064386,-0.130892,0.046251,0.988222,-0.052904,0.810502,-0.28106,0.00059,0.113799,-0.104489,0.002157,-0.987992,-0.018988,0.077637,-0.199738,0.000903,-0.21815,0.105984,-0.186651,-0.952019,-0.026412,0.076423,0.207764,0.000949,0.01103,0.242737,-0.045081,-0.968981,-0.005444,1.71026,-0.020964,0.000209,-0.00589,-0.114687,-0.011408,0.993319,0.075233,1.283812,0.019568,0.001442
12,0.4,-0.559977,0.368133,-0.367831,-0.644673,-0.097287,0.812387,0.270959,0.000964,-0.064598,-0.130475,0.047174,0.98822,-0.052524,0.810319,-0.28065,0.000589,0.113696,-0.104488,0.001973,-0.988004,-0.019009,0.077633,-0.199724,0.000899,-0.218455,0.105839,-0.186934,-0.951909,-0.026429,0.076454,0.207738,0.000992,0.011072,0.25112,-0.045977,-0.9668,-0.005398,1.710337,-0.020676,0.0002,-0.005791,-0.114011,-0.01114,0.9934,0.075254,1.28396,0.019559,0.001413
13,0.433333,-0.559963,0.370761,-0.364761,-0.644924,-0.099203,0.813095,0.269961,0.000972,-0.061883,-0.130313,0.044713,0.988529,-0.052395,0.810317,-0.280226,0.000533,0.113664,-0.104489,0.001874,-0.988008,-0.019032,0.077634,-0.199716,0.000897,-0.218137,0.105711,-0.187178,-0.951948,-0.026495,0.076458,0.20773,0.000932,0.011338,0.258038,-0.046942,-0.964927,-0.00519,1.71042,-0.020452,0.000185,-0.005699,-0.113256,-0.010892,0.99349,0.075309,1.284102,0.01952,0.001368
