X Head,Y Head,Z Head,WX Head,WY Head,WZ Head,X Torso,Y Torso,Z Torso,WX Torso,WY Torso,WZ Torso,X RArm,Y RArm,Z RArm,WX RArm,WY RArm,WZ RArm,X LArm,Y LArm,Z LArm,WX LArm,WY LArm,WZ LArm
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.015959,0.050994,1.207422,0.000791,0.011341,0.00699,-0.334744,-0.23834,0.946627,0.37888,-0.854487,0.00398,-0.155757,0.507913,0.937776,0.087152,0.127413,0.259582
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016065,0.050988,1.207422,0.000694,0.011481,0.00699,-0.346206,-0.23851,0.955016,0.378342,-0.851187,0.006903,-0.15701,0.507714,0.945698,0.09621,0.135259,0.256674
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016167,0.050997,1.207422,0.000622,0.01156,0.00699,-0.357419,-0.238866,0.963713,0.378531,-0.848057,0.01043,-0.158025,0.507582,0.954362,0.104678,0.145229,0.255465
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016258,0.051001,1.207422,0.000579,0.011568,0.00699,-0.368324,-0.239412,0.973178,0.378902,-0.847095,0.013307,-0.159009,0.507428,0.963889,0.112939,0.1547,0.253774
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016359,0.051013,1.207422,0.000543,0.011578,0.00699,-0.378848,-0.240178,0.98345,0.379398,-0.844817,0.015879,-0.159869,0.507248,0.97416,0.117638,0.164319,0.251827
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016429,0.050696,1.207422,0.000559,0.01163,0.00699,-0.38893,-0.241129,0.994727,0.379624,-0.842011,0.019457,-0.1607,0.506862,0.985148,0.124818,0.16828,0.251054
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016503,0.05069,1.207422,-0.003742,0.011672,0.00699,-0.398354,-0.242426,1.006991,0.380359,-0.838097,0.023756,-0.161434,0.506271,0.996797,0.131784,0.182579,0.247146
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016565,0.050678,1.207422,-0.003738,0.011742,0.00699,-0.40717,-0.244089,1.020169,0.381087,-0.831648,0.02803,-0.162425,0.505611,1.008953,0.141067,0.19228,0.243354
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016619,0.050661,1.207422,-0.003749,0.011831,0.00699,-0.415487,-0.246197,1.034294,0.381915,-0.824773,0.031628,-0.163527,0.504965,1.022033,0.149761,0.202624,0.239443
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016667,0.050651,1.207422,-0.003708,0.011887,0.00699,-0.423303,-0.248713,1.049226,0.382121,-0.817851,0.034379,-0.164997,0.504575,1.036213,0.161017,0.210329,0.232449
