Format Version,1.21,Take Name,Rutina_Circulos_Lennon,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-11-27 08.00.40.658 PM,Total Frames in Take,2367,Total Exported Frames,593,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3.133333,0.014985,-0.013863,-0.021843,-0.999553,0.00214,1.676444,-0.019111,0.000751,0.047217,-0.037278,0.065079,-0.996065,0.110997,1.309751,0.006464,0.002511,-0.207172,0.682221,-0.700415,0.032765,-0.508683,1.252987,0.305363,0.000926,0.058619,-0.020294,0.044039,0.997102,-0.030057,0.053993,-0.204767,0.001607,0.013412,-0.208319,0.006287,0.977949,0.028442,0.050251,0.190533,0.000916,-0.099426,-0.116434,0.562844,-0.812259,-0.483821,1.450771,-0.35899,0.000704
95,3.166667,0.01432,-0.014103,-0.021863,-0.999559,0.001312,1.676472,-0.018384,0.000712,0.04599,-0.037913,0.064582,-0.996131,0.110277,1.30987,0.006545,0.002554,-0.21286,0.676769,-0.703775,0.037088,-0.508519,1.245988,0.305626,0.000904,0.058706,-0.020269,0.044139,0.997093,-0.030071,0.053996,-0.204758,0.001617,0.013376,-0.208329,0.006441,0.977946,0.028418,0.050262,0.190526,0.000921,-0.101426,-0.11638,0.570357,-0.80676,-0.48311,1.4612,-0.357471,0.000727
96,3.2,0.013931,-0.014299,-0.02224,-0.999553,0.000226,1.676475,-0.017744,0.000734,0.044833,-0.038577,0.064213,-0.996182,0.10955,1.310001,0.006564,0.002579,-0.220084,0.67104,-0.706849,0.040412,-0.508253,1.239024,0.305918,0.000953,0.0587,-0.020256,0.044213,0.99709,-0.030082,0.053997,-0.204746,0.001619,0.013429,-0.208348,0.0063,0.977942,0.028383,0.050286,0.190531,0.000908,-0.103955,-0.116618,0.576696,-0.801882,-0.482534,1.470866,-0.355648,0.000722
97,3.233333,0.013361,-0.014252,-0.023286,-0.999538,-0.001029,1.676454,-0.017179,0.00072,0.04471,-0.041368,0.063315,-0.996133,0.108538,1.309896,0.006701,0.002518,-0.227061,0.665802,-0.709404,0.043554,-0.508083,1.23235,0.306201,0.000964,0.058716,-0.020213,0.044262,0.997088,-0.030086,0.053994,-0.20474,0.001622,0.013508,-0.208287,0.006514,0.977953,0.028392,0.050276,0.190516,0.000924,-0.105813,-0.11777,0.582329,-0.797387,-0.482255,1.479635,-0.353322,0.000753
98,3.266667,0.013346,-0.013792,-0.024821,-0.999508,-0.002303,1.676389,-0.016745,0.000735,0.04321,-0.040036,0.063065,-0.996269,0.108395,1.310138,0.006551,0.002556,-0.233241,0.658001,-0.714412,0.047416,-0.508158,1.226251,0.305969,0.000968,0.058731,-0.02021,0.044263,0.997087,-0.030091,0.053994,-0.204744,0.001624,0.013409,-0.208293,0.006538,0.977953,0.028392,0.050274,0.19051,0.000928,-0.108328,-0.119709,0.586693,-0.793553,-0.482281,1.487516,-0.350124,0.000752
99,3.3,0.01264,-0.013613,-0.026532,-0.999475,-0.003558,1.676378,-0.016356,0.000731,0.042527,-0.039695,0.062769,-0.996331,0.107964,1.310223,0.006462,0.002614,-0.237458,0.650633,-0.719287,0.054003,-0.508362,1.221107,0.305131,0.000995,0.058732,-0.020159,0.044294,0.997087,-0.030089,0.053993,-0.204738,0.001626,0.013377,-0.208263,0.006587,0.977959,0.02839,0.050277,0.190506,0.000928,-0.112276,-0.12353,0.58899,-0.790712,-0.482794,1.494268,-0.345533,0.000757
100,3.333333,0.011327,-0.013347,-0.028258,-0.999447,-0.00468,1.676363,-0.016216,0.000739,0.041516,-0.038007,0.062523,-0.996455,0.10785,1.310461,0.006289,0.002639,-0.24118,0.646546,-0.721495,0.057063,-0.508808,1.216818,0.303798,0.001029,0.058729,-0.020198,0.044238,0.997089,-0.030082,0.053992,-0.204748,0.001626,0.013299,-0.208292,0.006617,0.977954,0.028391,0.050279,0.190496,0.000925,-0.116247,-0.128822,0.591131,-0.78769,-0.483783,1.50012,-0.339503,0.000764
101,3.366667,0.011195,-0.013061,-0.029812,-0.999407,-0.005577,1.676282,-0.016451,0.000724,0.040835,-0.036682,0.062462,-0.996537,0.107643,1.31064,0.00611,0.002633,-0.243588,0.646397,-0.720804,0.05725,-0.509283,1.213299,0.301849,0.000984,0.058637,-0.020199,0.044224,0.997095,-0.03008,0.053991,-0.204754,0.001623,0.013264,-0.208255,0.006371,0.977964,0.02836,0.05031,0.190502,0.000912,-0.116249,-0.134889,0.593977,-0.784527,-0.485267,1.505123,-0.331915,0.000735
102,3.4,0.011878,-0.012483,-0.03068,-0.999381,-0.006287,1.676221,-0.017044,0.000721,0.040342,-0.035153,0.062669,-0.996599,0.107393,1.310759,0.005861,0.002635,-0.243091,0.645982,-0.720856,0.063096,-0.50982,1.210569,0.299097,0.00104,0.058565,-0.020243,0.04419,0.9971,-0.030066,0.053992,-0.204767,0.00162,0.013234,-0.208355,0.006684,0.977941,0.028387,0.050274,0.190486,0.000932,-0.113505,-0.142549,0.597519,-0.780876,-0.487014,1.509433,-0.322835,0.000729
103,3.433333,0.012541,-0.011053,-0.03121,-0.999373,-0.006745,1.676125,-0.017919,0.000725,0.039999,-0.033725,0.062722,-0.996659,0.107284,1.310843,0.00551,0.002647,-0.24291,0.64562,-0.721121,0.064456,-0.510597,1.208281,0.295485,0.000983,0.058568,-0.020321,0.044101,0.997102,-0.030065,0.05399,-0.204776,0.001617,0.01325,-0.208394,0.006687,0.977932,0.028381,0.05028,0.190485,0.000928,-0.110566,-0.152599,0.59974,-0.777689,-0.489321,1.512933,-0.312208,0.00071
