,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm
,,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
12,0.4,-0.534976,1E-05,0.558552,-0.633893,-0.085504,1.746007,-0.010001,0.007438,0.650941,0.00887,-0.75904,-0.050975,1.198607,0.02775,0.171925,-0.30694,0.839926,0.413224,-0.210648,0.895837,-0.228569,0.01958,0.441181,-0.006331,-0.897182,-0.20858,0.890865,0.271131
13,0.433333,-0.5347,-0.000268,0.558419,-0.634243,-0.085582,1.745909,-0.010123,0.007518,0.650926,0.008931,-0.759051,-0.051072,1.198557,0.027801,0.172227,-0.3073,0.839661,0.413369,-0.210585,0.895724,-0.228488,0.01967,0.44059,-0.00672,-0.897468,-0.208434,0.890784,0.271478
14,0.466667,-0.534353,-0.000632,0.558022,-0.634885,-0.085697,1.745846,-0.010279,0.007628,0.650896,0.008967,-0.759076,-0.051179,1.198561,0.027831,0.171863,-0.307152,0.839803,0.413341,-0.210573,0.895605,-0.228422,0.019782,0.44092,-0.00726,-0.897299,-0.208356,0.890735,0.271693
15,0.5,-0.533969,-0.000999,0.557684,-0.635503,-0.085807,1.745817,-0.010451,0.007699,0.650851,0.008991,-0.759114,-0.051269,1.198576,0.027876,0.172133,-0.307625,0.839515,0.413464,-0.210623,0.895473,-0.228327,0.019496,0.441912,-0.008086,-0.89681,-0.208438,0.890723,0.271857
16,0.533333,-0.533518,-0.001183,0.557747,-0.635826,-0.085845,1.745799,-0.010608,0.007712,0.650766,0.008998,-0.759186,-0.051365,1.198559,0.027928,0.173068,-0.307611,0.839261,0.413599,-0.210913,0.895329,-0.228157,0.019729,0.442826,-0.008889,-0.896347,-0.208788,0.890756,0.272046
17,0.566667,-0.533271,-0.001314,0.557702,-0.636073,-0.085855,1.745831,-0.010704,0.007761,0.650634,0.009014,-0.759298,-0.051521,1.198542,0.027978,0.174715,-0.307146,0.83918,0.413417,-0.211535,0.895324,-0.227972,0.019327,0.445973,-0.009996,-0.894782,-0.209555,0.890844,0.272195
18,0.6,-0.533663,-0.002295,0.556866,-0.636474,-0.085865,1.746059,-0.010677,0.007965,0.650438,0.008972,-0.759465,-0.051668,1.198525,0.027966,0.177381,-0.305452,0.839216,0.413464,-0.212624,0.895385,-0.227643,0.020305,0.455175,-0.013628,-0.890066,-0.211103,0.891014,0.272098
19,0.633333,-0.534494,-0.003328,0.555873,-0.63664,-0.085673,1.746291,-0.010528,0.008313,0.650354,0.008887,-0.759534,-0.051764,1.198552,0.027911,0.180584,-0.304667,0.838497,0.414113,-0.214454,0.895545,-0.227343,0.023886,0.461523,-0.013893,-0.886698,-0.21352,0.891494,0.272192
20,0.666667,-0.535326,-0.004451,0.554618,-0.637028,-0.085293,1.746435,-0.010354,0.00869,0.650383,0.008862,-0.759505,-0.051772,1.198549,0.027849,0.183622,-0.304757,0.836416,0.416911,-0.216987,0.895904,-0.226984,0.02724,0.469861,-0.014304,-0.882204,-0.217031,0.892434,0.272547
21,0.7,-0.535947,-0.005051,0.554141,-0.636917,-0.084598,1.746477,-0.010279,0.009124,0.650452,0.008955,-0.75944,-0.051716,1.198523,0.027791,0.188439,-0.302576,0.835507,0.41817,-0.220274,0.896617,-0.226823,0.031695,0.478254,-0.014537,-0.877529,-0.221565,0.893797,0.273176
