Head;Head;Head;Head;Head;Head;;;;;;;;;;;;;;;;;;
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
-0.000139;0.643098;-0.028443;0.037748;1765918;-0.020596;0.001143;0.692039;0.005929;0.049248;1215170;0.012597;-0.190994;0.179729;-0.935001;-0.082066;0.877482;-0.262946;0.870826;-0.350631;-0.157685;-0.084339;0.874781;0.266508
-0.000111;0.643059;-0.028239;0.038007;1765897;-0.020485;0.001180;0.691990;0.006007;0.049370;1215151;0.012677;-0.190652;0.179939;-0.934947;-0.082119;0.877461;-0.262743;0.870632;-0.350696;-0.158039;-0.084289;0.874808;0.266808
-0.000080;0.642945;-0.028017;0.038246;1765896;-0.020389;0.001219;0.691961;0.006098;0.049490;1215140;0.012759;-0.190336;0.180093;-0.934904;-0.082192;0.877419;-0.262511;0.870478;-0.350887;-0.158313;-0.084300;0.874853;0.267064
0.000241;0.642893;-0.027890;0.038474;1765903;-0.020343;0.001253;0.691952;0.006135;0.049617;1215136;0.012822;-0.189969;0.180231;-0.934837;-0.082242;0.877415;-0.262219;0.870533;-0.350876;-0.158611;-0.084325;0.874862;0.267258
0.000371;0.642850;-0.027811;0.038642;1765901;-0.020282;0.001214;0.691945;0.006182;0.049709;1215134;0.012907;-0.189850;0.180401;-0.934782;-0.082300;0.877407;-0.261880;0.870283;-0.351475;-0.159028;-0.084393;0.874790;0.267401
0.000277;0.642930;-0.027807;0.038784;1765894;-0.020183;0.001212;0.691784;0.006053;0.049890;1215132;0.013273;-0.189933;0.180022;-0.934792;-0.082357;0.877414;-0.261497;0.869902;-0.351976;-0.159573;-0.084480;0.874705;0.267486
0.000119;0.642997;-0.027950;0.038912;1765896;-0.020043;0.001243;0.691748;0.006098;0.049970;1215128;0.013337;-0.190246;0.179677;-0.934743;-0.082374;0.877407;-0.261182;0.869817;-0.352024;-0.160026;-0.084589;0.874616;0.267466
-0.000136;0.643015;-0.027923;0.039039;1765878;-0.019873;0.001347;0.691715;0.006175;0.050062;1215101;0.013384;-0.190244;0.179301;-0.934849;-0.082424;0.877357;-0.260976;0.869589;-0.352269;-0.160449;-0.084729;0.874497;0.267342
-0.000463;0.642873;-0.027901;0.039172;1765861;-0.019671;0.001449;0.691705;0.006292;0.050142;1215070;0.013442;-0.190280;0.179426;-0.934757;-0.082535;0.877323;-0.260830;0.869454;-0.352456;-0.160874;-0.084880;0.874374;0.267155
-0.000722;0.642761;-0.027977;0.039338;1765882;-0.019501;0.001536;0.691677;0.006356;0.050203;1215069;0.013472;-0.190023;0.179155;-0.934844;-0.082711;0.877340;-0.260743;0.869197;-0.352624;-0.161686;-0.085025;0.874282;0.266956
